[INFO ] 26-02-2020 09:44:55.328 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 09:44:58.487 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.573 seconds (JVM running for 3.921)
[INFO ] 26-02-2020 09:56:54.722 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 09:56:57.707 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.427 seconds (JVM running for 3.808)
[INFO ] 26-02-2020 09:58:01.963 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 09:58:04.913 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.391 seconds (JVM running for 3.755)
[INFO ] 26-02-2020 10:01:13.015 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:01:16.000 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.416 seconds (JVM running for 3.78)
[INFO ] 26-02-2020 10:03:14.953 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:03:18.059 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.51 seconds (JVM running for 3.862)
[INFO ] 26-02-2020 10:04:41.572 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:04:44.590 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.458 seconds (JVM running for 3.82)
[INFO ] 26-02-2020 10:17:25.358 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:17:28.584 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.692 seconds (JVM running for 4.162)
[INFO ] 26-02-2020 10:18:50.848 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:18:53.989 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.58 seconds (JVM running for 3.978)
[INFO ] 26-02-2020 10:24:52.594 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:24:55.895 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.723 seconds (JVM running for 4.241)
[INFO ] 26-02-2020 10:26:55.832 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:26:59.032 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.653 seconds (JVM running for 4.183)
[INFO ] 26-02-2020 10:32:02.728 PM [main]  com.viswagopi.TownServiceApplicationTests - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:32:08.250 PM [main]  com.viswagopi.TownServiceApplicationTests - Started TownServiceApplicationTests in 6.209 seconds (JVM running for 7.057)
[INFO ] 26-02-2020 10:32:22.921 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:40:14.623 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:40:19.611 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 5.816 seconds (JVM running for 6.738)
[INFO ] 26-02-2020 10:41:47.702 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:41:50.638 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.367 seconds (JVM running for 3.756)
[INFO ] 26-02-2020 10:45:05.874 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:45:09.246 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.81 seconds (JVM running for 4.191)
[INFO ] 26-02-2020 10:55:15.121 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:55:22.822 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 9.248 seconds (JVM running for 10.813)
[INFO ] 26-02-2020 10:56:25.862 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 26-02-2020 10:56:28.856 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.459 seconds (JVM running for 3.847)
[INFO ] 28-02-2020 02:04:36.942 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 28-02-2020 02:05:00.454 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 28-02-2020 02:05:03.764 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.762 seconds (JVM running for 4.139)
[INFO ] 28-02-2020 02:06:05.252 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 28-02-2020 02:06:08.533 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.719 seconds (JVM running for 4.228)
[INFO ] 28-02-2020 02:09:01.466 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 28-02-2020 02:09:04.685 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 4.217 seconds (JVM running for 4.638)
[INFO ] 28-02-2020 02:11:05.198 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 28-02-2020 02:12:02.585 PM [main]  com.viswagopi.TownServiceApplication - No active profile set, falling back to default profiles: default
[INFO ] 28-02-2020 02:12:05.719 PM [main]  com.viswagopi.TownServiceApplication - Started TownServiceApplication in 3.616 seconds (JVM running for 4.048)
